Rank,Corridor Name,Road Type,Number of Links,Total Passenger Count Equivalent,Total DAC-Originating Passenger Count Equivalent,avg_composite,p75_composite,Share of Passenger Count Equivalent Originating from DACs ,pct_dac_pce,pct_dac_share,Corridor Composite DAC Score
166,Birch Street,residential,16,6267,5523,80.00629870862117,85.83367441549655,88%,92.97543625652995,90.95253973546737,91.96
167,North Maple Avenue,tertiary,22,11951,9767,77.98111189,89.53349357234143,82%,95.30954762698677,88.58508391686118,91.95
168,Smiley Drive,residential,12,7123,6192,73.79916455752594,78.55604258376005,87%,93.49783261087029,90.39679893297766,91.95
169,South Brand Boulevard,primary,46,18764,14657,72.49917014,88.99696784917765,78%,96.46548849616539,87.38468378348338,91.93
170,East Compton Boulevard,secondary,78,2635,2585,68.92463594164272,73.42169449618684,98%,88.28498388351673,95.42069578748472,91.85
171,South Van Ness Avenue,secondary,48,8035,6811,73.39795796197143,80.03244109023782,85%,93.89796598866289,89.80771368233856,91.85
172,South Long Beach Boulevard,primary,14,6605,5759,82.25702519871267,88.05719947877077,87%,93.14215849727687,90.55240635767477,91.85
173,Stockbridge Avenue,residential,14,6764,5882,70.29682501232072,83.62528922375269,87%,93.20884739357564,90.43014338112704,91.82
174,Wadsworth Avenue,residential,19,2973,2865,71.01979097195448,81.18479413951235,96%,89.01856174280316,94.62042903189952,91.82
175,Garfield Avenue,secondary,241,243686,164489,75.42830867692575,85.53735058512993,68%,99.63321107,84.0057797,91.82
176,Center Street,tertiary,12,6192,5433,71.69272116741983,84.45714685466558,88%,92.83094364788262,90.77470267867068,91.80
177,Bandini Boulevard,secondary,25,87917,61155,79.7091307,91.23223936450128,70%,98.93297765921974,84.66155385128377,91.80
178,South Prairie Avenue,secondary,64,23424,17753,74.75716168,89.98158156318652,76%,96.92119595420696,86.65110592419695,91.79
179,Valerio Street,tertiary,58,13579,10853,64.55257773144885,77.27426973612769,80%,95.63187729243081,87.90708013782373,91.77
180,West 30th Street,residential,29,6460,5629,69.51498116391156,69.30970538854132,87%,93.03101033677893,90.49683227742581,91.76
181,West Colorado Street,primary,19,40699,29633,83.96767288469341,91.90100403451471,73%,97.85484050238968,85.66188729576525,91.76
182,Caspian Avenue,residential,6,3368,3197,74.45134497746074,87.67243791608543,95%,89.82994331443814,93.67566966766701,91.75
183,Envoy Street,residential,4,2752,2672,75.27335299,94.57219944,97%,88.52950984,94.90385684116927,91.72
184,Mulford Avenue,residential,4,5770,5074,88.24070516300942,95.92747897,88%,92.53084361453818,90.84139157496944,91.69
185,Ivar Avenue,residential,14,4529,4129,60.565870224899435,89.65811037697236,91%,91.26375458486163,92.05290652439702,91.66
186,East Dominguez Street,tertiary,9,5050,4512,77.09097287770324,93.23446127116448,89%,91.79726575525176,91.50828053795709,91.65
187,West Whittier Boulevard,primary,51,18661,14270,80.73694466,82.28196496738141,76%,96.43214404801601,86.86228742914305,91.65
188,West Pacific Lane,tertiary,4,3768,3523,78.80966153512033,95.43569418,93%,90.36345448482828,92.91986217628099,91.64
189,East Dominguez Street,residential,9,2633,2562,69.56368398435941,83.14316262519108,97%,88.21273757919307,95.04279204179171,91.63
190,Carl Street,residential,7,4672,4230,64.81959239587647,79.10060810077098,91%,91.40824719350896,91.84172501945092,91.62
191,East Ezmirlian Street,residential,6,2361,2337,79.76780657717784,92.35718402566052,99%,87.50694676003113,95.72635322885407,91.62
192,Alondra Boulevard,secondary,225,130070,87859,71.68068212720183,82.75725252052757,68%,99.19973324,84.02800933644549,91.61
193,South Doty Avenue,residential,28,11346,9126,69.14389769,68.74399625784142,80%,95.02056240969212,88.14049127,91.58
194,South Orchard Avenue,residential,8,6188,5369,80.31641809433916,95.05061937736497,87%,92.79759919973326,90.35233966877848,91.57
195,West 108th Street,tertiary,68,3289,3114,66.58439646145887,67.97823199712656,95%,89.5409581,93.57563632321884,91.56
196,Babcock Avenue,residential,10,5790,5055,78.79261090738993,92.94351470551383,87%,92.47526953428921,90.61909525397354,91.55
197,Van Buren Avenue,residential,3,1794,1794,91.36902027281003,91.36902027281003,100%,85.09503167722573,97.98821829498722,91.54
198,West Avenue 31,residential,6,1791,1791,74.70531197184472,86.67576451130583,100%,85.08391686117595,97.98821829498722,91.54
199,Belden Avenue,residential,4,3118,2968,84.45563286751255,94.72130106835286,95%,89.22974324774925,93.79793264421474,91.51
200,Appledale Avenue,residential,14,15699,12080,86.99092741334027,94.18879524211266,77%,96.00978103812382,87.01789485384018,91.51
201,West Avenue 32,residential,4,1784,1784,80.30751689400837,93.04401213,100%,85.02834278092698,97.98821829498722,91.51
202,North Wilcox Avenue,tertiary,21,7238,6103,73.55054996764196,79.87002681323455,84%,93.44225853062132,89.55207291319329,91.50
203,North Soto Street,primary,55,40417,28792,69.79132605910758,78.33641003366273,71%,97.79926642214072,85.18395020562409,91.49
204,Avalon Boulevard,secondary,215,22401,16779,62.87481659751456,72.62878287962445,75%,96.81004779,86.1509392,91.48
205,Rosewood Avenue,tertiary,27,4530,4083,51.46144039074867,89.57228296733129,90%,91.14704901633878,91.80838057130154,91.48
206,Shorb Street,residential,38,15183,11693,68.06033901002496,89.86798032025527,77%,95.90974769367567,87.04012448593976,91.47
207,West Caldwell Street,residential,11,9430,7697,82.49386621631164,94.20341304910748,82%,94.37590307880404,88.56285428476158,91.47
208,Westhaven Street,residential,17,5285,4657,70.78965393386068,72.42162767,88%,92.01956207624764,90.91919529,91.47
209,Exposition Boulevard,tertiary,58,3554,3322,67.28444783430349,70.23271549,93%,90.03001000333445,92.88651772813161,91.46
210,West 111th Place,tertiary,7,2462,2403,77.39257701794351,91.91823216,98%,87.71257085695233,95.19839946648882,91.46
211,Bolsa Avenue,residential,18,2412,2358,74.25386536582106,86.41024248853546,98%,87.58475047237968,95.28731799488719,91.44
212,Lemon Grove Avenue,residential,13,4183,3814,67.15581168666361,89.72389051,91%,90.78581749472046,92.07513615649661,91.43
213,East Kelso Street,residential,8,2482,2416,79.42240868047145,91.02393561482496,97%,87.78481716127598,95.06502167,91.42
214,Chanute Street,residential,4,3350,3144,76.85510412055096,95.09175806276468,94%,89.67989329776593,93.13660108925197,91.41
215,Bernadette Street,residential,4,3350,3144,76.85510412055096,95.09175806276468,94%,89.67989329776593,93.13660108925197,91.41
216,West Compton Boulevard,secondary,51,8927,7305,75.80242342766856,81.96935272350628,82%,94.14249194175837,88.66288762920973,91.40
217,East Colorado Street,primary,36,41887,29537,78.60711209676896,91.89030171153638,71%,97.84372569,84.95053906857841,91.40
218,Corona Avenue,tertiary,6,3731,3458,82.68618213509082,93.61488969820495,93%,90.20784706013116,92.55863065466266,91.38
219,Beck Avenue,residential,36,8767,7181,59.626690212937355,69.91759733,82%,94.08691786150939,88.67400244525953,91.38
220,5th Street East,tertiary,36,10501,8405,61.24631422437916,77.70972376521296,80%,94.66488829609871,88.05157274647104,91.36
221,Carlota Boulevard,tertiary,16,3964,3630,69.11395729094448,90.15093929851233,92%,90.50238968545071,92.19739913304434,91.35
222,Saticoy Street,secondary,224,145155,95628,75.97911991703052,83.21599062789745,66%,99.26642214071357,83.39446482,91.33
223,Apple Street,residential,10,2433,2367,72.88394714200992,90.16111955695517,97%,87.62920973657886,95.03167722574192,91.33
224,Roscoe Boulevard,primary,243,396820,253188,80.31966660331425,88.22598294,64%,99.81104813,82.77203512281872,91.29
225,Union Pacific Avenue,tertiary,44,3409,3178,72.56332548,76.08777366622952,93%,89.79659886628878,92.77536956763366,91.29
